price,url,title,img
Rp. 306.300,https://www.jakartanotebook.com/10moons-graphics-digital-drawing-tablet-6-inch-with-stylus-pen-t503-black,10moons Graphics Digital Drawing Tablet 6 Inch with Stylus Pen - T503 - Black,https://www.jakartanotebook.com/images/products/44/1280/50836/2/279/10moons-graphics-digital-drawing-tablet-android-mac-pc-6-inch-with-pen-t503-black-1.jpg
Rp. 607.500,https://www.jakartanotebook.com/10moons-graphics-digital-drawing-tablet-roller-key-with-stylus-pen-g20-black,10moons Graphics Digital Drawing Tablet Roller Key with Stylus Pen - G20 - Black,https://www.jakartanotebook.com/images/products/44/1280/50833/2/279/10moons-graphics-digital-drawing-tablet-with-roller-key-support-android-phone-g20-black-1.jpg
Rp. 369.000,https://www.jakartanotebook.com/10moons-graphics-digital-drawing-tablet-with-pen-stylus-g30-black,10moons Graphics Digital Drawing Tablet with Pen Stylus - G30 - Black,https://www.jakartanotebook.com/images/products/44/1280/50834/2/279/10moons-graphics-digital-drawing-tablet-with-pen-stylus-g30-black-1.jpg
Rp. 420.400,https://www.jakartanotebook.com/10moons-graphics-digital-drawing-tablet-with-stylus-pen-g50-black,10moons Graphics Digital Drawing Tablet with Stylus Pen - G50 - Black,https://www.jakartanotebook.com/images/products/44/1280/50831/2/279/10moons-graphics-digital-drawing-tablet-with-roller-key-support-android-phone-g50-black-1.jpg
Rp. 38.700,https://www.jakartanotebook.com/2-in-1-usb-hub-6-port-combo-card-reader-sd-or-tf-card-cb220602-black,2 in 1 USB Hub 6 Port Combo Card Reader SD/TF Card - CB220602 - Black,https://www.jakartanotebook.com/images/products/55/63/32898/2/279/2-in-1-usb-hub-6-port-combo-card-reader-sd-or-tf-card-black-1.jpg
Rp. 31.700,https://www.jakartanotebook.com/2.5-hdd-sata-enclosure-usb-2.0-or-casing-harddisk-u25q7-black,2.5 HDD SATA Enclosure USB 2.0 / Casing Harddisk - U25Q7 - Black,https://www.jakartanotebook.com/images/products/25/63/17316/2/279/2.5-hdd-sata-enclosure-usb-2.0-or-casing-harddisk-u25q7-black-533.jpg
Rp. 64.300,https://www.jakartanotebook.com/3-in-1-mini-display-port-to-hdmi-vga-dvi-adapter-md114-white,3 in 1 Mini Display Port to HDMI VGA DVI Adapter - MD114 - White,https://www.jakartanotebook.com/images/products/31/63/24271/3/279/3-in-1-mini-display-port-to-hdmi-vga-dvi-adapter-white-1.jpg
Rp. 7.000,https://www.jakartanotebook.com/3-in-1-red-laser-pointer-1mw-650nm-flashlight-and-uv-a-lpp-006-black,3 in 1 Red Laser Pointer 1mw 650nm + Flashlight & UV - A-LPP-006 - Black,https://www.jakartanotebook.com/images/products/46/63/10480/2/279/3-in-1-red-laser-pointer-1mw-650nm--flashlight-and-uv-black-70.JPG
Rp. 138.200,https://www.jakartanotebook.com/3d-pens-magic-drawing-printer-with-9-meter-pla-filament-dw-g2-blue,3D-PEN2  Pena Magic Drawing Printer with 9 Meter PLA Filament - DW-G2 - Blue,https://www.jakartanotebook.com/images/products/74/63/31788/6/279/3d-pens-magic-drawing-printer-with-9-meter-pla-filament-blue-1.jpg
Rp. 30.900,https://www.jakartanotebook.com/4-ports-usb-2.0-hub-with-independent-on-off-switch-model-uh041-white,4 Ports USB 2.0 HUB With Independent ON OFF Switch Model UH041 - White,https://www.jakartanotebook.com/images/products/38/63/7/3/279/4-ports-usb-2.0-hub-with-independent-on-off-switch-model-uh041-white-4.jpg
Rp. 139.900,https://www.jakartanotebook.com/abbree-tactical-antena-97cm-bnc-na-767-for-walkie-talkie-kenwood-icom-ic-v8-black,ABBREE Tactical Antena 97cm BNC NA-767 for Walkie Talkie Kenwood ICOM IC-V8 - Black,https://www.jakartanotebook.com/images/products/74/1020/49156/2/279/abbree-tactical-antena-97cm-bnc-na-767-for-walkie-talkie-kenwood-icom-ic-v8-black-1.jpg
Rp. 37.600,https://www.jakartanotebook.com/abbree-tactical-antena-dual-band-33cm-ar-152a-for-walkie-talkie-taffware-pofung-baofeng-uv-5r-uv-82-uv5r-black,ABBREE Tactical Antena Dual Band 32cm AR-152A for Walkie Talkie Taffware Pofung Baofeng UV-5R UV-82 UV5R - Black,https://www.jakartanotebook.com/images/products/74/1020/45678/2/279/abbree-tactical-antena-dual-band-33cm-ar-152a-for-walkie-talkie-taffware-pofung-baofeng-uv-5r-uv-82-uv5r-black-44.jpg
Rp. 59.900,https://www.jakartanotebook.com/abbree-tactical-antena-dual-band-33cm-sma-for-walkie-talkie-taffware-pofung-baofeng-uv-5r-uv-82-camouflage,ABBREE Tactical Antena Dual Band 33cm SMA for Walkie Talkie Taffware Pofung Baofeng UV-5R UV-82 - Camouflage,https://www.jakartanotebook.com/images/products/74/1020/49155/192/279/abbree-tactical-antena-dual-band-33cm-sma-for-walkie-talkie-taffware-pofung-baofeng-uv-5r-uv-82-camouflage-65.jpg
Rp. 78.200,https://www.jakartanotebook.com/abbree-tactical-antena-dual-band-47cm-sma-for-walkie-talkie-taffware-pofung-baofeng-uv-5r-uv-82-camouflage,ABBREE Tactical Antena Dual Band 47cm SMA for Walkie Talkie Taffware Pofung Baofeng UV-5R UV-82 - Camouflage,https://www.jakartanotebook.com/images/products/74/1020/49154/192/279/abbree-tactical-antena-dual-band-47cm-sma-for-walkie-talkie-taffware-pofung-baofeng-uv-5r-uv-82-camouflage-51.jpg
Rp. 7.075.300,https://www.jakartanotebook.com/acer-a514-53-36n5-laptop-intel-core-i3-1005g1-4gb-512ssd-14-inch-windows-10-black,Acer A514-53-36N5 Laptop Intel Core i3-1005G1 4GB 512SSD 14 Inch Windows 10 - Black,https://www.jakartanotebook.com/images/products/1/3/51283/2/279/acer-a514-53-36n5-laptop-intel-core-i3-1005g1-4gb-512ssd-14-inch-windows-10-black-18.jpg
Rp. 6.441.700,https://www.jakartanotebook.com/acer-aspire-5-a514-53-31qe-laptop-intel-core-i3-1005g1-4-gb-1tb-14-inch-windows-10-black,Acer Aspire 5 A514-53-31QE Laptop Intel Core i3-1005G1 4 GB 1TB 14 Inch Windows 10 - Black,https://www.jakartanotebook.com/images/products/1/3/51214/2/279/acer-aspire-5-a514-53-31qe-laptop-intel-core-i3-1005g1-4-gb-1tb-14-inch-windows-10-black-1.jpg
Rp. 6.864.100,https://www.jakartanotebook.com/acer-aspire-5-a514-53-32f7-laptop-intel-core-i3-1005g1-4-gb-512gb-14-inch-windows-10-black,Acer Aspire 5 A514-53-32F7 Laptop Intel Core i3-1005G1 4 GB 512GB 14 Inch Windows 10 - Black,https://www.jakartanotebook.com/images/products/1/3/51215/2/279/acer-aspire-5-a514-53-32f7-laptop-intel-core-i3-1005g1-4-gb-512gb-14-inch-windows-10-black-1.jpg
Rp. 6.864.000,https://www.jakartanotebook.com/acer-aspire-5-a514-53-331l-laptop-intel-core-i3-1005g1u-4-gb-512gb-14-inch-windows-10-silver,Acer Aspire 5 A514-53-331L Laptop Intel Core i3- 1005G1U 4 GB 512GB 14 Inch Windows 10 - Silver,https://www.jakartanotebook.com/images/products/1/3/51221/15/279/acer-aspire-5-a514-53-331l-laptop-intel-core-i3-1005g1u-4-gb-512gb-14-inch-windows-10-silver-1.JPG
Rp. 8.976.100,https://www.jakartanotebook.com/acer-aspire-5-a515-44-r6yq-laptop-amd-ryzen-5-4500u-8gb-512gb-15.6-inch-windows-10-silver,Acer Aspire 5 A515-44-R6YQ Laptop AMD Ryzen 5-4500U 8GB 512GB 15.6 Inch Windows 10 - Silver,https://www.jakartanotebook.com/images/products/1/3/51224/15/279/acer-aspire-5-a515-44-r6yq-laptop-amd-ryzen-5-4500u-8gb-512gb-156-inch-windows-10-silver-1.jpg
Rp. 6.864.100,https://www.jakartanotebook.com/acer-swift-1-sf114-34-p3zb-laptop-intel-n6000-4-gb-512gb-14-inch-windows-10-golden,Acer Swift 1 SF114-34-P3ZB Laptop Intel N6000 4 GB 512GB 14 Inch Windows 10 - Golden,https://www.jakartanotebook.com/images/products/1/3/51284/39/279/acer-swift-1-sf114-34-p3zb-laptop-intel-n6000-4-gb-512gb-14-inch-windows-10-golden-1.jpg
Rp. 7.800,https://www.jakartanotebook.com/adapter-aux-3.5mm-ke-usb-2.0-female-white,Adapter AUX 3.5mm ke USB 2.0 Female - White,https://www.jakartanotebook.com/images/products/38/63/6344/3/279/aux-audio-plug-jack-3.5mm-male-to-usb-2.0-female-adapter-white-87.jpg
Rp. 2.900,https://www.jakartanotebook.com/adapter-charger-for-sierra-wireless-aircard-5.2v-1.2a-black,Adapter Charger for Sierra Wireless AirCard 5.2V 1.2A - Black,https://www.jakartanotebook.com/images/products/14/15/15774/2/279/adapter-charger-for-sierra-wireless-aircard-754s-or-753s-or-760s-black-1.JPG
Rp. 153.800,https://www.jakartanotebook.com/adapter-converter-lightning-to-hdmi-vga-with-audio-port-silver,Adapter Converter Lightning to HDMI VGA with Audio Port - 7585C - Silver,https://www.jakartanotebook.com/images/products/57/63/31297/15/279/adapter-converter-lightning-to-hdmi-vga-with-audio-port-silver-1.jpg
Rp. 55.400,https://www.jakartanotebook.com/adapter-converter-mini-display-port-to-hdmi-4k-silver,Adapter Converter Mini Display Port to HDMI 4K - Silver,https://www.jakartanotebook.com/images/products/57/63/34515/15/279/adapter-converter-mini-display-port-to-hdmi-4k-silver-1.jpg
Rp. 75.700,https://www.jakartanotebook.com/adapter-display-usb-3.0-ke-vga-cm162-black,Adapter Display USB 3.0 ke VGA - CM162 - Black,https://www.jakartanotebook.com/images/products/57/63/8932/2/279/adapter-display-usb-30-ke-vga-black-1.jpg
Rp. 123.400,https://www.jakartanotebook.com/adapter-extreme-sd-card-ke-compact-flash-151111,Adapter Extreme SD Card ke Compact Flash - 151111,https://www.jakartanotebook.com/images/products/27/63/23320/1/279/adapter-extreme-sd-card-ke-compact-flash-1.jpg
Rp. 1.600,https://www.jakartanotebook.com/adapter-konektor-rj45-network-changer-lan-extension-connector,Adapter Konektor RJ45 Network Changer LAN Extension Connector,https://www.jakartanotebook.com/images/products/38/63/4911/1/279/rj45-network-changer-lan-extension-adapter-connector-1.jpg
Rp. 10.600,https://www.jakartanotebook.com/adapter-konverter-micro-usb-ke-usb-3.1-type-c-aluminium-black,Adapter Konverter Micro USB ke USB 3.1 Type C Aluminium - Black,https://www.jakartanotebook.com/images/products/38/63/15676/2/279/micro-usb-to-usb-3.1-type-c-adapter-converter-aluminium-alloy-shell-black-31.JPG
Rp. 16.200,https://www.jakartanotebook.com/adapter-konverter-usb-3.0-ke-usb-3.1-type-c-black,Adapter Konverter USB 3.0 ke USB 3.1 Type C - Black,https://www.jakartanotebook.com/images/products/38/63/19347/2/279/usb-30-to-usb-31-type-c-adapter-converter-black-1.jpg
Rp. 3.700,https://www.jakartanotebook.com/adapter-konverter-usb-ke-micro-usb-otg-pnlf010,Adapter Konverter USB ke Micro USB OTG - PNLF010,https://www.jakartanotebook.com/images/products/38/63/15790/1/279/usb-3.0-to-micro-usb-otg-adapter-converter-pnlf010-70.JPG
Rp. 44.300,https://www.jakartanotebook.com/adapter-micro-hdmi-ke-vga-dengan-port-audio-h76-white,Adapter Micro HDMI ke VGA dengan Port Audio - H76 - White,https://www.jakartanotebook.com/images/products/33/63/8233/3/279/micro-hdmi-to-vga-adapter-with-audio-port-white-2.jpg
Rp. 37.900,https://www.jakartanotebook.com/adapter-micro-hdmi-ke-vga-white,Adapter Micro HDMI ke VGA - White,https://www.jakartanotebook.com/images/products/33/63/15370/3/279/micro-hdmi-to-vga-adapter-white-34.jpg
Rp. 30.900,https://www.jakartanotebook.com/adapter-micro-usb-ke-hdmi-mhl01-black,Adapter Micro USB ke HDMI - MHL01 - Black,https://www.jakartanotebook.com/images/products/38/109/3603/2/279/micro-usb-to-hdmi-adapter-mhl01-black-6.gif
Rp. 81.500,https://www.jakartanotebook.com/adapter-usb-type-c-ke-usb-3.0-type-c-and-hdmi-white,"Adapter USB Type C ke USB 3.0, Type-C & HDMI - White",https://www.jakartanotebook.com/images/products/33/63/16902/3/279/adapter-usb-type-c-ke-usb-30-type-c-and-hdmi-white-30.jpg
Rp. 39.900,https://www.jakartanotebook.com/adaptor-acer-19v-3.42a-hipro-black,Adaptor ACER 19V 3.42A HIPRO - HP-A0653R3B - Black,https://www.jakartanotebook.com/images/products/14/3/255/2/279/adaptor-acer-19v-3.42a-hipro-hp-a0653r3b-black-83.JPG
Rp. 69.900,https://www.jakartanotebook.com/adaptor-asus-19v-3.42a-pin-central-black,Adaptor ASUS 19V 3.42A Square Shape Pin Central - Black,https://www.jakartanotebook.com/images/products/14/2/10914/2/279/adaptor-asus-19v-3.42a-square-shape-pin-central-black-10.jpg
Rp. 79.900,https://www.jakartanotebook.com/adaptor-asus-19v-3.42a-square-shape-pa-1650-black,Adaptor ASUS 19V 3.42A Square Shape - PA-1650 - Black,https://www.jakartanotebook.com/images/products/14/2/35360/2/279/adaptor-asus-19v-342a-square-shape-pin-central-pa-1650-48-black-1.jpg
Rp. 39.900,https://www.jakartanotebook.com/adaptor-asus-9.5v-2.5a-for-netbook-black,Adaptor ASUS 9.5V 2.5A For Netbook - Black,https://www.jakartanotebook.com/images/products/14/2/264/2/279/adaptor-asus-9.5v-2.5a-for-netbook-black-5.jpg
Rp. 4.900,https://www.jakartanotebook.com/adaptor-asus-eee-pc-700-900-9.5v-2.315a-white,Adaptor ASUS Eee PC 700 900 - 9.5V 2.315A - White,https://www.jakartanotebook.com/images/products/14/2/265/3/279/adaptor-asus-eee-pc-700-900-9.5v-2.315a-white-41.jpg
Rp. 59.900,https://www.jakartanotebook.com/adaptor-hp-18.5v-3.5a-pin-central-609939-001-608425-002-black,Adaptor HP 18.5v 3.5A PIN Central - 609939-001 608425-002 - Black,https://www.jakartanotebook.com/images/products/14/4/321/2/279/adaptor-hp-18.5v-3.5a-pin-central-609939-001-608425-002-black-124.jpg
Rp. 59.900,https://www.jakartanotebook.com/adaptor-hp-18.5v-3.5a-pin-central-609939-001-608425-002-black,Adaptor HP 18.5v 3.5A PIN Central - 609939-001 608425-002 - Black,https://www.jakartanotebook.com/images/products/14/4/321/2/279/adaptor-hp-18.5v-3.5a-pin-central-609939-001-608425-002-black-124.jpg
